Address,Signal Strength
48:f1:7f:64:69:9b,-74
4e:27:25:af:74:8d,-74
4e:27:25:af:74:8d,-68
4e:27:25:af:74:8d,-72
4e:27:25:af:74:8d,-72
4e:27:25:af:74:8d,-72
4e:27:25:af:74:8d,-98
4e:27:25:af:74:8d,-98
a4:c4:94:40:a8:e4,-98
a4:c4:94:40:a8:e4,-98
98:22:ef:c6:1a:e7,-98
dc:53:60:9e:76:e0,-98
dc:53:60:9e:76:e0,-88
98:22:ef:c6:1a:e7,-98
dc:53:60:9e:76:e0,-74
98:22:ef:c6:1a:e7,-98
00:28:f8:3f:cc:8a,-44
dc:53:60:9e:76:e0,-74
00:28:f8:3f:cc:8a,-56
dc:53:60:9e:76:e0,-98
00:28:f8:3f:cc:8a,-44
94:b8:6d:37:11:58,-98
94:b8:6d:37:11:58,-98
e8:2a:ea:49:83:1a,-74
e8:2a:ea:49:83:1a,-74
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-72
48:f1:7f:64:69:9b,-74
4a:d3:f4:f8:34:1d,-98
da:a1:19:59:60:75,-98
da:a1:19:59:60:75,-98
24:18:1d:4a:34:9c,-88
da:a1:19:59:60:75,-90
24:18:1d:4a:34:9c,-82
da:a1:19:59:60:75,-74
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-98
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-40
00:28:f8:3f:cc:8a,-50
58:fb:84:59:a7:18,-98
dc:53:60:9e:76:e0,-82
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-98
58:fb:84:59:a7:18,-98
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
40:83:1d:10:08:80,-62
40:83:1d:10:08:80,-56
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-48
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-56
4a:ed:73:98:3b:e4,-98
aa:f9:88:b2:f0:b6,-98
aa:f9:88:b2:f0:b6,-82
2a:85:2c:6d:0c:06,-98
2a:85:2c:6d:0c:06,-98
60:36:dd:96:86:8d,-98
60:36:dd:96:86:8d,-98
60:36:dd:96:86:8d,-98
60:36:dd:96:86:8d,-98
48:f1:7f:64:69:9b,-72
74:b5:87:28:22:0a,-98
74:b5:87:28:22:0a,-98
74:b5:87:28:22:0a,-98
00:28:f8:2d:86:bf,-98
00:28:f8:3f:cc:8a,-44
00:28:f8:2d:86:bf,-74
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-40
00:28:f8:3f:cc:8a,-56
e8:2a:ea:49:83:1a,-74
e8:2a:ea:49:83:1a,-74
5a:3e:3d:b8:f0:51,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
24:41:8c:76:0a:6b,-98
24:41:8c:76:0a:6b,-82
24:41:8c:76:0a:6b,-74
24:18:1d:4a:34:9c,-98
24:18:1d:4a:34:9c,-74
24:18:1d:4a:34:9c,-74
24:18:1d:4a:34:9c,-74
24:18:1d:4a:34:9c,-74
24:18:1d:4a:34:9c,-98
74:70:fd:f6:89:02,-80
74:70:fd:f6:89:02,-98
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-74
da:a1:19:e8:14:4b,-74
da:a1:19:e8:14:4b,-74
da:a1:19:e8:14:4b,-96
da:a1:19:e8:14:4b,-92
b6:a3:b1:9b:73:a9,-98
dc:53:60:9e:76:e0,-96
dc:53:60:9e:76:e0,-98
dc:53:60:9e:76:e0,-98
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-56
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-56
72:5f:f0:b6:a3:24,-98
e8:2a:ea:49:83:1a,-90
96:a9:1c:9a:20:41,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
da:a1:19:62:6d:d2,-98
30:74:96:e2:25:01,-74
da:a1:19:62:6d:d2,-98
30:74:96:e2:25:01,-64
30:74:96:e2:25:01,-68
30:74:96:e2:25:01,-62
da:a1:19:62:6d:d2,-98
da:a1:19:62:6d:d2,-98
da:a1:19:62:6d:d2,-98
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-22
30:74:96:e2:25:01,-22
30:74:96:e2:25:01,-22
30:74:96:e2:25:01,-22
30:74:96:e2:25:01,-22
30:74:96:e2:25:01,-22
30:74:96:e2:25:01,-28
30:74:96:e2:25:01,-28
06:44:45:d6:cd:2e,-72
28:b2:bd:a8:37:de,-96
06:44:45:d6:cd:2e,-98
42:a8:68:b3:57:e1,-98
42:a8:68:b3:57:e1,-98
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-84
24:ee:9a:7f:39:ba,-96
24:ee:9a:7f:39:ba,-74
24:ee:9a:7f:39:ba,-68
24:ee:9a:7f:39:ba,-68
24:ee:9a:7f:39:ba,-74
dc:53:60:9e:76:e0,-98
dc:53:60:9e:76:e0,-96
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-40
00:28:f8:3f:cc:8a,-50
a6:db:e1:7d:d3:9c,-98
a6:db:e1:7d:d3:9c,-98
a6:db:e1:7d:d3:9c,-98
a6:db:e1:7d:d3:9c,-98
a6:db:e1:7d:d3:9c,-98
a6:db:e1:7d:d3:9c,-94
a6:db:e1:7d:d3:9c,-90
a6:db:e1:7d:d3:9c,-98
a6:db:e1:7d:d3:9c,-98
86:3a:45:e2:1e:7d,-98
86:3a:45:e2:1e:7d,-98
e8:2a:ea:49:83:1a,-88
e8:2a:ea:49:83:1a,-80
9a:9b:bf:ba:2e:8c,-98
fa:49:4a:e0:b8:16,-82
fa:49:4a:e0:b8:16,-90
fa:49:4a:e0:b8:16,-78
fa:49:4a:e0:b8:16,-94
fa:49:4a:e0:b8:16,-98
d2:00:b4:d5:45:fd,-98
98:22:ef:c6:1a:e7,-98
48:f1:7f:64:69:9b,-74
48:f1:7f:64:69:9b,-98
48:f1:7f:64:69:9b,-74
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-50
00:28:f8:3f:cc:8a,-68
00:28:f8:3f:cc:8a,-50
da:a1:19:67:3d:a2,-98
dc:53:60:9e:76:e0,-94
dc:53:60:9e:76:e0,-74
16:5d:8f:56:a3:a9,-98
16:5d:8f:56:a3:a9,-98
16:5d:8f:56:a3:a9,-84
16:5d:8f:56:a3:a9,-76
16:5d:8f:56:a3:a9,-98
16:5d:8f:56:a3:a9,-98
16:5d:8f:56:a3:a9,-98
98:22:ef:ec:d8:87,-74
98:22:ef:ec:d8:87,-74
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-80
98:22:ef:ec:d8:87,-68
98:22:ef:ec:d8:87,-72
98:22:ef:ec:d8:87,-74
98:22:ef:ec:d8:87,-74
98:22:ef:ec:d8:87,-98
1e:35:10:f4:98:3c,-98
56:60:46:d1:ac:3f,-98
56:60:46:d1:ac:3f,-78
56:60:46:d1:ac:3f,-74
56:60:46:d1:ac:3f,-96
56:60:46:d1:ac:3f,-74
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
98:22:ef:c6:1a:e7,-98
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-50
48:f1:7f:64:69:9b,-98
00:28:f8:3f:cc:8a,-44
48:f1:7f:64:69:9b,-98
00:28:f8:3f:cc:8a,-44
00:28:f8:3f:cc:8a,-56
ae:5f:b9:22:18:ec,-98
ae:5f:b9:22:18:ec,-98
a4:c4:94:40:a8:e4,-98
a4:c4:94:40:a8:e4,-98
dc:53:60:9e:76:e0,-98
da:a1:19:49:e6:27,-90
58:fb:84:59:a7:18,-98
be:d8:fb:db:6a:5c,-98
be:d8:fb:db:6a:5c,-98
5a:d4:79:31:08:21,-82
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-92
d6:a0:ba:ff:ae:b4,-90
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-96
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-96
d6:a0:ba:ff:ae:b4,-88
5a:d4:79:31:08:21,-98
d6:a0:ba:ff:ae:b4,-80
d6:a0:ba:ff:ae:b4,-90
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-80
d6:a0:ba:ff:ae:b4,-90
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-96
d6:a0:ba:ff:ae:b4,-88
d6:a0:ba:ff:ae:b4,-74
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-98
d6:a0:ba:ff:ae:b4,-86
5a:d4:79:31:08:21,-74
d6:a0:ba:ff:ae:b4,-98
5a:d4:79:31:08:21,-74
5a:d4:79:31:08:21,-74
5a:d4:79:31:08:21,-74
5a:d4:79:31:08:21,-98
6a:a8:67:2a:d4:05,-98
86:62:d7:80:db:22,-98
86:62:d7:80:db:22,-74
86:62:d7:80:db:22,-88
e8:2a:ea:49:83:1a,-98
e8:2a:ea:49:83:1a,-80
80:4a:14:ed:7e:e1,-98
80:4a:14:ed:7e:e1,-98
b8:f1:2a:47:39:0a,-98
b8:f1:2a:47:39:0a,-74
60:36:dd:96:86:8d,-98
60:36:dd:96:86:8d,-82
60:36:dd:96:86:8d,-96
60:36:dd:96:86:8d,-90
60:36:dd:96:86:8d,-80
98:22:ef:c6:1a:e7,-98
40:83:1d:10:08:80,-62
40:83:1d:10:08:80,-62
40:83:1d:10:08:80,-56
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-50
40:83:1d:10:08:80,-56
00:28:f8:3f:cc:8a,-50
48:f1:7f:64:69:9b,-74
00:28:f8:3f:cc:8a,-44
48:f1:7f:64:69:9b,-98
48:f1:7f:64:69:9b,-90
48:f1:7f:64:69:9b,-76
48:f1:7f:64:69:9b,-96
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-74
dc:53:60:9e:76:e0,-72
dc:53:60:9e:76:e0,-92
b8:7b:c5:7a:fd:47,-98
